Cazyme	MCTs29	MCTs37	MCTs05	MCTs04	MCTs07	MCTs06	MCTs01	MCTs03	MCTs28	MCTs27	MCTs26	MCTs25	MCTs24	MCTs23	MCTs22	MCTs21	MCTs20	MCTs36	MCTs09	MCTs08	MCTs16	MCTs31	MCTs14	MCTs15	MCTs12	MCTs13	MCTs10	MCTs11	MCTs18	MCTs19	MCTs32	MCTs33	MCTs34	MCTs35
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM11	0	0	0	0	0.000143466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109022	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM12	0.000853485	0	3.79E-05	0	0	9.32E-05	2.17E-05	0	0	9.82E-06	0	0	0	0	2.55E-05	0	0	1.23E-05	0	0	0	0	0	6.03E-05	0	0.000136008	9.02E-05	4.25E-05	0	0	0.000279737	0	0	2.10E-05
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13	0	0	0.000322116	0.000756908	0.000278493	0	0.001379805	0.000426902	0.000995025	0.000844595	0.001261757	0.000376751	0	0.000285111	0.000165905	0.000395452	0	0.000356963	0.001426961	4.25E-05	0.000132736	0.000122861	0.000964153	6.03E-05	0.000266197	0	0.00050506	0	0	0.0007369	0.000419605	0	0.000286269	0.000430659
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16	0.013655761	0.000516713	0.000701076	0.000756908	0.001316511	0	0.000304209	0.001120618	0.002333162	0.000471402	5.74E-05	0.000672043	0.000557891	0.000912357	0.000510478	0.000667326	0.00054817	0.000147709	0.000930627	0.000424755	0.000481168	0.000160664	0.000370828	0.000361664	0	0.001360082	0.000342719	0.000481627	0.000169427	3.98E-05	0.000827554	0.00025075	0.001526766	0.000451666
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM2	0	0	0	0	0	0	0	0	0.000548979	3.93E-05	0	0	0	0	0	0	0	0	7.24E-05	0	0	8.51E-05	0	0	0	0	0	0	0	0	0	0	0.000349884	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20	0	0.001238592	0.000985296	0.00068984	0.000742647	0.001770654	0.000956085	0.001013892	0.000446046	0.001050833	0.00131911	0.001058977	0.001578577	0.001235483	0.000842288	0.001248146	0.002133949	0.00091087	0.000899606	0.001153917	0.001061888	0.001247507	0.001161928	0.00111513	0.001185007	0.00017001	0.001912011	0.001076579	0.000720064	0.000604125	0.001480273	0.001079313	0.000572537	0.002384379
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22	0	0.002066854	0	0.001944966	0.001198363	0.002376404	0.002086004	0.001814333	0.001852805	0.00147313	0.001003671	0.002168866	0.001737069	0.000855334	0.001824957	0.0002348	0.000920143	0.000147709	0.001902615	0.002038823	0.002107184	0.002362703	0.001087763	0.001597348	0.001940664	0.002074124	0.000956006	0.000665779	0.000158838	0.001945151	0.000932455	0.00086127	0.000636153	0.002625968
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM23	0	0	0	0	0.00071733	0	0	0.000302389	0.000514668	0	0.000105146	0	0	0	0.000114857	0	0	0	0.000196466	0	0	0.000481991	0	0	0	0	0.000144303	9.92E-05	0	0	0	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM25	0	0	0	0	0	0	0.000108646	0	0.000480357	0	0.000248528	0	2.54E-05	0	0	0	0	0	0	0	0.00024888	0	0	0	0	0	0	0	0	0	0	0	0	0.000420155
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26	0	4.56E-05	0	0	2.53E-05	0.002329808	0.000130375	0	0.000137245	0.00034373	9.56E-05	0	0.002352016	0	0	0	0	0	0	0	0.000215696	0.001824007	0.001508035	0	0	0	0	0	0	0	2.33E-05	2.18E-05	0	0.001911704
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM27	0	0	0	0	0.000160344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
